,Atividade_por_semana,Altura,Peso,Time
0,4,173,85,Fluminense
1,0,170,70,Flamengo
2,2,183,85,
3,4,176,70,Sao Paulo
4,9,178,73,Palmeiras
5,0,180,90,Sao Paulo
6,0,183,65,Corinthians
7,0,186,97,Corinthians
8,1,165,65,Corinthians
9,0,160,55,Cruzeiro
10,6,175,63,
11,0,167,70,Vitoria
12,0,183,83,Palmeiras
13,1,190,85,Palmeiras
14,0,174,80,Corinthians
15,2,183,85,Sao Paulo
16,2,162,67,Santos
17,0,186,86,
18,3,174,83,Corinthians
19,0,172,92,Corinthians
20,3,190,115,
21,3,180,85,
22,2,178,95,Sao Paulo
23,5,182,74,Corinthians
24,5,160,61,
25,0,171,97,Corinthians
26,3,188,93,Sao Paulo
27,11,180,83,
